ID,class
567.0,PASS
1261.0,PASS
1041.0,PASS
1181.0,PASS
611.0,PASS
794.0,PASS
1325.0,FAIL
1340.0,PASS
675.0,PASS
80.0,PASS
791.0,PASS
316.0,PASS
127.0,PASS
941.0,PASS
345.0,FAIL
1142.0,PASS
404.0,PASS
1053.0,PASS
402.0,PASS
1432.0,PASS
846.0,PASS
817.0,PASS
339.0,PASS
563.0,PASS
685.0,PASS
907.0,PASS
1254.0,PASS
906.0,PASS
1146.0,PASS
308.0,PASS
1556.0,PASS
749.0,PASS
35.0,PASS
59.0,FAIL
750.0,PASS
146.0,PASS
786.0,PASS
518.0,PASS
641.0,PASS
671.0,PASS
1058.0,PASS
1481.0,PASS
1563.0,PASS
411.0,PASS
1200.0,PASS
897.0,PASS
176.0,PASS
593.0,PASS
383.0,PASS
1205.0,PASS
1486.0,PASS
1162.0,PASS
149.0,PASS
211.0,PASS
734.0,PASS
380.0,PASS
1452.0,PASS
943.0,PASS
1267.0,PASS
261.0,PASS
307.0,PASS
1185.0,PASS
551.0,PASS
1408.0,PASS
204.0,PASS
1153.0,PASS
1430.0,PASS
521.0,PASS
962.0,PASS
807.0,PASS
1235.0,PASS
1559.0,PASS
180.0,PASS
560.0,PASS
1064.0,PASS
1237.0,PASS
92.0,PASS
1331.0,PASS
622.0,PASS
1115.0,PASS
311.0,PASS
98.0,PASS
926.0,PASS
620.0,PASS
60.0,PASS
715.0,PASS
998.0,PASS
771.0,PASS
1078.0,PASS
395.0,PASS
1543.0,PASS
167.0,PASS
436.0,PASS
649.0,PASS
91.0,PASS
1419.0,PASS
1443.0,PASS
689.0,PASS
412.0,PASS
833.0,PASS
58.0,FAIL
1080.0,PASS
1160.0,PASS
386.0,PASS
838.0,PASS
612.0,PASS
117.0,PASS
1454.0,PASS
155.0,FAIL
1286.0,PASS
619.0,PASS
726.0,PASS
1421.0,PASS
1560.0,PASS
1037.0,PASS
553.0,PASS
599.0,PASS
698.0,PASS
1385.0,PASS
1098.0,PASS
1410.0,PASS
143.0,PASS
1509.0,PASS
1517.0,PASS
1562.0,PASS
1257.0,PASS
1140.0,PASS
1553.0,PASS
192.0,PASS
1293.0,PASS
1491.0,PASS
1335.0,PASS
70.0,PASS
280.0,PASS
982.0,PASS
329.0,PASS
711.0,PASS
474.0,PASS
712.0,PASS
1352.0,PASS
20.0,PASS
368.0,PASS
462.0,PASS
702.0,PASS
61.0,PASS
772.0,PASS
1123.0,PASS
903.0,PASS
1453.0,PASS
773.0,PASS
864.0,PASS
94.0,PASS
1433.0,PASS
1137.0,PASS
768.0,PASS
458.0,PASS
774.0,PASS
580.0,PASS
1471.0,PASS
687.0,PASS
1305.0,PASS
68.0,PASS
452.0,PASS
1148.0,PASS
690.0,PASS
1299.0,PASS
813.0,PASS
533.0,PASS
235.0,PASS
384.0,PASS
1164.0,PASS
673.0,PASS
853.0,PASS
1468.0,PASS
88.0,PASS
174.0,PASS
738.0,PASS
1534.0,PASS
1496.0,PASS
554.0,PASS
862.0,PASS
1176.0,PASS
672.0,PASS
134.0,PASS
271.0,PASS
324.0,FAIL
919.0,PASS
463.0,PASS
86.0,PASS
187.0,FAIL
416.0,PASS
1290.0,PASS
1003.0,PASS
201.0,PASS
1328.0,PASS
934.0,PASS
661.0,PASS
1375.0,PASS
1258.0,PASS
513.0,PASS
1429.0,PASS
1393.0,PASS
1087.0,PASS
165.0,PASS
950.0,PASS
354.0,PASS
1222.0,PASS
1548.0,PASS
224.0,PASS
183.0,FAIL
1008.0,PASS
4.0,PASS
9.0,PASS
510.0,PASS
304.0,PASS
900.0,PASS
440.0,PASS
592.0,PASS
1152.0,FAIL
1302.0,PASS
1100.0,PASS
1332.0,PASS
840.0,PASS
125.0,PASS
1337.0,PASS
1256.0,PASS
494.0,PASS
795.0,PASS
189.0,FAIL
435.0,PASS
932.0,PASS
614.0,PASS
1495.0,PASS
140.0,PASS
8.0,PASS
1128.0,PASS
1110.0,PASS
910.0,PASS
777.0,PASS
502.0,PASS
1249.0,PASS
1341.0,PASS
1475.0,PASS
212.0,PASS
1319.0,PASS
748.0,PASS
634.0,PASS
643.0,PASS
990.0,PASS
832.0,FAIL
1411.0,PASS
1156.0,PASS
413.0,PASS
76.0,PASS
43.0,PASS
1518.0,PASS
912.0,PASS
120.0,PASS
1336.0,PASS
10.0,PASS
872.0,FAIL
1202.0,PASS
445.0,PASS
842.0,PASS
670.0,PASS
470.0,PASS
610.0,PASS
37.0,PASS
1086.0,PASS
396.0,PASS
1136.0,PASS
1196.0,PASS
264.0,PASS
737.0,PASS
1270.0,PASS
1236.0,PASS
1530.0,PASS
867.0,PASS
